Year,Month,A,B,C,D,E,"A, B, C","D, E",All
1993,1,90.4,81.3,80.7,74.2,58.1,85.5,69.6,84.4
,2,90.5,82.6,81.3,74.9,62.2,86.2,71.3,85.2
,3,90.2,83.9,81.9,75.4,64.6,86.7,72.4,85.7
,4,92.5,85.4,83.7,76.8,66.2,88.5,73.9,87.5
,5,95.9,88.6,85.9,80.5,72.3,91.6,78.2,90.7
,6,98.3,94.0,91.4,86.9,76.3,95.6,84.0,94.9
,7,100.1,98.0,97.6,90.6,79.2,98.9,87.4,98.1
,8,101.0,97.9,96.1,91.1,76.8,99.1,87.1,98.3
,9,100.7,96.2,95.5,88.7,79.0,98.1,86.0,97.3
,10,97.8,94.4,95.6,90.0,83.2,96.0,88.1,95.5
,11,99.5,97.3,97.5,92.9,85.3,98.3,90.8,97.8
,12,102.2,100.2,100.3,99.0,92.4,101.1,97.2,100.8
1994,1,106.3,108.6,110.2,106.6,104.0,107.8,105.9,107.7
,2,109.9,112.9,113.3,111.1,108.3,111.7,110.3,111.6
,3,114.5,122.9,123.2,119.7,120.2,119.4,119.8,119.4
,4,116.9,117.7,123.8,124.3,120.5,117.9,123.3,118.2
,5,114.8,115.8,123.0,115.4,116.3,116.0,115.6,116.0
,6,114.1,116.7,122.8,119.0,112.8,116.1,117.3,116.1
,7,113.5,113.0,118.6,116.7,112.1,113.7,115.5,113.8
,8,116.7,117.4,122.7,123.5,115.6,117.5,121.4,117.7
,9,116.1,115.6,121.1,117.0,118.0,116.3,117.3,116.3
,10,116.5,116.7,118.4,119.7,115.1,116.8,118.5,116.8
,11,115.7,114.1,117.6,117.7,116.4,115.1,117.4,115.2
,12,110.2,108.9,114.5,112.2,118.4,109.9,113.8,110.1
1995,1,109.9,109.9,110.8,111.0,111.3,110.0,111.1,110.0
,2,113.9,112.4,109.8,102.3,99.5,112.9,101.6,112.4
,3,114.2,112.9,112.7,108.9,113.1,113.5,109.9,113.3
,4,114.7,111.2,112.0,109.1,113.6,112.8,110.1,112.7
,5,110.8,109.4,111.5,109.8,103.5,110.2,108.4,110.1
,6,110.4,106.0,108.8,108.1,108.7,108.2,108.2,108.2
,7,108.5,105.0,104.9,103.2,104.3,106.5,103.5,106.4
,8,108.0,102.4,105.4,102.1,101.3,105.1,101.9,105.0
,9,104.5,99.6,99.9,98.9,96.1,101.8,98.2,101.6
,10,103.5,99.1,98.9,96.6,96.2,101.0,96.5,100.8
,11,105.4,102.0,100.6,99.7,99.3,103.3,99.6,103.2
,12,106.3,102.7,102.9,99.2,94.0,104.2,98.0,103.9
1996,1,106.9,104.7,102.0,100.2,102.5,105.4,100.8,105.2
,2,109.1,108.6,107.2,106.4,104.5,108.7,105.9,108.5
,3,112.2,114.5,109.2,107.6,109.9,113.1,108.2,112.8
,4,112.1,112.4,110.9,109.6,113.4,112.1,110.6,112.1
,5,113.3,113.5,114.2,111.7,116.8,113.5,113.0,113.5
,6,114.7,114.8,117.1,114.8,116.3,115.0,115.2,115.0
,7,115.4,114.0,114.2,115.0,115.8,114.6,115.2,114.6
,8,116.8,118.5,116.4,113.9,115.6,117.6,114.3,117.4
,9,119.0,117.7,117.0,118.7,116.5,118.2,118.2,118.2
,10,122.4,123.3,124.0,125.7,124.1,123.0,125.3,123.1
,11,127.1,128.2,129.1,130.0,135.7,127.8,131.5,128.0
,12,132.5,135.2,136.5,139.2,140.2,134.2,139.5,134.5
1997,1,137.9,143.6,148.8,156.1,160.9,141.7,157.4,142.7
,2,151.1,154.6,160.6,163.4,164.2,153.7,163.6,154.3
,3,160.6,162.4,167.1,163.1,166.4,162.1,163.9,162.2
,4,154.5,157.8,162.1,160.6,159.5,156.8,160.3,157.0
,5,169.5,173.7,175.3,175.0,184.6,172.0,177.5,172.3
,6,171.0,171.0,177.7,176.1,179.6,171.6,177.0,172.0
,7,165.1,166.7,174.4,171.9,180.0,166.7,174.0,167.2
,8,168.8,170.5,180.2,174.2,185.0,170.7,177.0,171.1
,9,170.2,169.1,174.3,174.4,173.5,170.1,174.2,170.3
,10,171.1,172.1,178.7,178.2,198.2,172.3,183.4,172.9
,11,161.2,157.0,166.9,173.1,166.4,159.8,171.4,160.5
,12,155.4,153.4,160.0,156.1,156.3,154.9,156.2,155.0
1998,1,145.2,141.0,148.9,147.4,142.2,143.6,146.1,143.7
,2,138.5,134.6,136.2,138.5,135.7,136.5,137.8,136.6
,3,140.4,137.9,137.4,137.6,128.1,139.0,135.0,138.7
,4,135.5,133.4,136.3,131.3,126.6,134.6,130.0,134.3
,5,129.4,126.2,128.2,125.2,126.8,127.8,125.6,127.6
,6,114.0,111.7,110.0,111.0,118.0,112.5,112.9,112.5
,7,110.2,105.9,110.6,105.9,104.3,108.1,105.5,108.0
,8,106.3,104.3,102.1,99.1,98.5,104.9,98.9,104.5
,9,100.4,96.8,99.6,102.1,92.8,98.5,99.5,98.5
,10,96.6,95.1,95.2,94.1,96.3,95.7,94.7,95.6
,11,100.7,100.4,99.1,101.2,94.4,100.4,99.2,100.3
,12,105.0,105.0,103.5,100.2,104.5,104.8,101.5,104.6
1999,1,103.9,103.9,105.0,102.0,98.2,104.0,100.9,103.8
,2,103.0,101.7,102.8,98.0,97.5,102.3,97.8,102.0
,3,102.4,102.2,99.1,99.6,94.8,102.0,98.2,101.7
,4,102.7,101.8,101.4,100.5,101.7,102.1,100.9,102.0
,5,103.1,103.1,102.6,100.7,101.8,103.1,101.0,102.9
,6,103.3,101.5,101.8,103.4,102.2,102.2,103.0,102.3
,7,101.8,101.4,100.0,105.3,100.2,101.4,103.8,101.6
,8,99.3,101.3,100.5,100.8,103.2,100.5,101.5,100.5
,9,96.8,97.0,98.0,99.7,97.2,97.0,99.0,97.1
,10,95.5,95.7,96.5,97.6,99.1,95.7,98.0,95.8
,11,93.2,94.5,95.1,95.1,105.2,94.0,98.0,94.3
,12,94.9,95.8,97.1,97.3,99.0,95.6,97.8,95.7
2000,1,96.6,97.5,98.4,98.8,107.4,97.2,101.2,97.5
,2,96.2,98.0,98.2,99.7,102.0,97.3,100.3,97.5
,3,93.2,95.8,97.6,99.7,102.3,95.0,100.4,95.3
,4,92.4,93.8,96.8,99.2,101.2,93.6,99.7,93.9
,5,89.0,89.9,92.1,99.1,96.9,89.8,98.5,90.3
,6,84.5,85.6,89.5,91.5,95.3,85.6,92.5,86.0
