Date,House Price,House Price (Adjusted Inflation)
1975 Q1,"£10,388","£92,841"
1975 Q2,"£10,728","£87,658"
1975 Q3,"£10,978","£85,885"
1975 Q4,"£11,288","£85,408"
1976 Q1,"£11,519","£83,933"
1976 Q2,"£11,739","£82,490"
1976 Q3,"£11,999","£82,429"
1976 Q4,"£12,209","£80,281"
1977 Q1,"£12,409","£77,536"
1977 Q2,"£12,689","£76,017"
1977 Q3,"£12,970","£76,537"
1977 Q4,"£13,150","£76,457"
1978 Q1,"£13,820","£79,020"
1978 Q2,"£14,491","£80,683"
1978 Q3,"£15,912","£87,017"
1978 Q4,"£16,823","£90,386"
1979 Q1,"£17,793","£92,890"
1979 Q2,"£19,075","£95,953"
1979 Q3,"£20,485","£96,543"
1979 Q4,"£21,966","£100,770"
1980 Q1,"£22,677","£99,249"
1980 Q2,"£23,348","£96,669"
1980 Q3,"£23,628","£95,820"
1980 Q4,"£23,497","£93,504"
1981 Q1,"£23,730","£92,172"
1981 Q2,"£24,098","£89,210"
1981 Q3,"£24,188","£88,126"
1981 Q4,"£23,798","£84,585"
1982 Q1,"£24,177","£84,516"
1982 Q2,"£24,679","£83,624"
1982 Q3,"£24,969","£84,195"
1982 Q4,"£25,580","£85,628"
1983 Q1,"£26,307","£87,638"
1983 Q2,"£27,386","£89,398"
1983 Q3,"£28,175","£90,794"
1983 Q4,"£28,623","£91,173"
1984 Q1,"£29,675","£93,983"
1984 Q2,"£30,833","£95,673"
1984 Q3,"£31,254","£96,116"
1984 Q4,"£32,543","£98,979"
1985 Q1,"£33,200","£99,661"
1985 Q2,"£34,174","£99,239"
1985 Q3,"£34,700","£100,451"
1985 Q4,"£35,436","£102,154"
1986 Q1,"£35,647","£102,016"
1986 Q2,"£37,015","£104,522"
1986 Q3,"£38,251","£107,903"
1986 Q4,"£39,593","£110,337"
1987 Q1,"£40,882","£112,564"
1987 Q2,"£42,987","£116,502"
1987 Q3,"£44,434","£120,187"
1987 Q4,"£44,355","£118,695"
1988 Q1,"£45,091","£120,083"
1988 Q2,"£48,932","£127,245"
1988 Q3,"£54,352","£139,370"
1988 Q4,"£57,245","£143,851"
1989 Q1,"£59,534","£147,192"
1989 Q2,"£62,244","£149,605"
1989 Q3,"£62,782","£149,467"
1989 Q4,"£61,495","£143,558"
1990 Q1,"£59,587","£136,676"
1990 Q2,"£58,982","£129,277"
1990 Q3,"£57,245","£123,413"
1990 Q4,"£54,919","£116,578"
1991 Q1,"£54,547","£115,169"
1991 Q2,"£55,418","£114,556"
1991 Q3,"£54,903","£112,984"
1991 Q4,"£53,635","£109,315"
1992 Q1,"£52,187","£105,816"
1992 Q2,"£52,663","£104,556"
1992 Q3,"£52,243","£103,797"
1992 Q4,"£50,168","£99,246"
1993 Q1,"£50,128","£99,811"
1993 Q2,"£51,918","£101,760"
1993 Q3,"£51,746","£101,136"
1993 Q4,"£51,050","£99,423"
