date,price
1993-01-01,84.4
1993-02-01,85.2
1993-03-01,85.7
1993-04-01,87.5
1993-05-01,90.7
1993-06-01,94.9
1993-07-01,98.1
1993-08-01,98.3
1993-09-01,97.3
1993-10-01,95.5
1993-11-01,97.8
1993-12-01,100.8
1994-01-01,107.7
1994-02-01,111.6
1994-03-01,119.4
1994-04-01,118.2
1994-05-01,116.0
1994-06-01,116.1
1994-07-01,113.8
1994-08-01,117.7
1994-09-01,116.3
1994-10-01,116.8
1994-11-01,115.2
1994-12-01,110.1
1995-01-01,110.0
1995-02-01,112.4
1995-03-01,113.3
1995-04-01,112.7
1995-05-01,110.1
1995-06-01,108.2
1995-07-01,106.4
1995-08-01,105.0
1995-09-01,101.6
1995-10-01,100.8
1995-11-01,103.2
1995-12-01,103.9
1996-01-01,105.2
1996-02-01,108.5
1996-03-01,112.8
1996-04-01,112.1
1996-05-01,113.5
1996-06-01,115.0
1996-07-01,114.6
1996-08-01,117.4
1996-09-01,118.2
1996-10-01,123.1
1996-11-01,128.0
1996-12-01,134.5
1997-01-01,142.7
1997-02-01,154.3
1997-03-01,162.2
1997-04-01,157.0
1997-05-01,172.3
1997-06-01,172.0
1997-07-01,167.2
1997-08-01,171.1
1997-09-01,170.3
1997-10-01,172.9
1997-11-01,160.5
1997-12-01,155.0
1998-01-01,143.7
1998-02-01,136.6
1998-03-01,138.7
1998-04-01,134.3
1998-05-01,127.6
1998-06-01,112.5
1998-07-01,108.0
1998-08-01,104.5
1998-09-01,98.5
1998-10-01,95.6
1998-11-01,100.3
1998-12-01,104.6
1999-01-01,103.8
1999-02-01,102.0
1999-03-01,101.7
1999-04-01,102.0
1999-05-01,102.9
1999-06-01,102.3
1999-07-01,101.6
1999-08-01,100.5
1999-09-01,97.1
1999-10-01,95.8
1999-11-01,94.3
1999-12-01,95.7
2000-01-01,97.5
2000-02-01,97.5
2000-03-01,95.3
2000-04-01,93.9
2000-05-01,90.3
2000-06-01,86.0
2000-07-01,86.6
2000-08-01,87.2
2000-09-01,88.2
2000-10-01,87.0
2000-11-01,83.7
2000-12-01,81.8
2001-01-01,80.7
2001-02-01,80.2
2001-03-01,82.1
2001-04-01,82.2
2001-05-01,80.5
2001-06-01,80.9
2001-07-01,80.2
2001-08-01,78.5
2001-09-01,77.2
2001-10-01,74.1
2001-11-01,73.6
2001-12-01,73.8
2002-01-01,74.1
2002-02-01,73.9
2002-03-01,73.3
2002-04-01,72.3
2002-05-01,72.4
2002-06-01,71.9
2002-07-01,70.9
2002-08-01,68.3
2002-09-01,66.7
2002-10-01,65.4
2002-11-01,65.1
2002-12-01,64.8
2003-01-01,63.6
2003-02-01,63.4
2003-03-01,61.2
2003-04-01,60.5
2003-05-01,59.7
2003-06-01,59.3
2003-07-01,58.4
2003-08-01,58.6
2003-09-01,60.9
2003-10-01,63.4
2003-11-01,64.3
2003-12-01,65.4
2004-01-01,69.5
2004-02-01,73.2
2004-03-01,78.1
2004-04-01,79.4
2004-05-01,77.5
2004-06-01,74.7
2004-07-01,74.9
2004-08-01,77.6
2004-09-01,80.9
2004-10-01,84.1
2004-11-01,82.7
2004-12-01,83.3
2005-01-01,85.7
2005-02-01,89.4
2005-03-01,94.6
2005-04-01,95.4
2005-05-01,95.3
2005-06-01,92.9
2005-07-01,92.8
2005-08-01,93.9
2005-09-01,94.0
2005-10-01,91.8
2005-11-01,88.5
2005-12-01,90.1
2006-01-01,90.8
2006-02-01,91.1
2006-03-01,92.6
2006-04-01,93.4
2006-05-01,94.0
2006-06-01,92.3
2006-07-01,91.9
2006-08-01,93.0
2006-09-01,93.3
2006-10-01,93.1
2006-11-01,93.0
2006-12-01,93.8
2007-01-01,95.2
2007-02-01,96.6
2007-03-01,97.9
2007-04-01,98.7
2007-05-01,100.5
2007-06-01,101.6
2007-07-01,102.8
2007-08-01,104.0
2007-09-01,105.3
2007-10-01,108.5
2007-11-01,113.3
2007-12-01,117.9
2008-01-01,123.2
2008-02-01,125.5
2008-03-01,126.4
2008-04-01,124.7
2008-05-01,126.4
2008-06-01,126.6
2008-07-01,124.9
2008-08-01,122.9
2008-09-01,121.9
2008-10-01,114.3
2008-11-01,104.9
2008-12-01,104.8
2009-01-01,107.1
2009-02-01,107.8
2009-03-01,109.2
2009-04-01,113.4
2009-05-01,116.7
2009-06-01,121.1
2009-07-01,124.1
2009-08-01,127.4
2009-09-01,129.9
2009-10-01,131.7
2009-11-01,132.3
2009-12-01,134.7
2010-01-01,138.3
2010-02-01,140.7
2010-03-01,143.4
2010-04-01,146.6
2010-05-01,145.8
2010-06-01,146.9
2010-07-01,151.3
2010-08-01,154.9
2010-09-01,156.1
2010-10-01,160.2
2010-11-01,163.7
2010-12-01,163.0
2011-01-01,169.5
2011-02-01,176.4
2011-03-01,179.5
2011-04-01,183.3
2011-05-01,185.9
2011-06-01,188.1
2011-07-01,185.5
2011-08-01,184.5
2011-09-01,185.6
2011-10-01,183.2
2011-11-01,182.0
2011-12-01,181.1
2012-01-01,179.8
2012-02-01,183.8
2012-03-01,192.2
2012-04-01,198.5
2012-05-01,203.2
2012-06-01,205.1
2012-07-01,206.1
2012-08-01,210.8
2012-09-01,217.8
2012-10-01,223.7
2012-11-01,225.9
2012-12-01,227.6
2013-01-01,232.5
2013-02-01,240.0
2013-03-01,239.9
2013-04-01,239.4
2013-05-01,240.8
2013-06-01,243.3
2013-07-01,245.1
2013-08-01,246.3
2013-09-01,245.5
2013-10-01,245.4
2013-11-01,245.0
2013-12-01,245.1
2014-01-01,244.7
2014-02-01,244.3
2014-03-01,243.7
2014-04-01,245.0
2014-05-01,247.4
2014-06-01,250.3
2014-07-01,256.4
2014-08-01,261.2
2014-09-01,266.3
2014-10-01,270.5
2014-11-01,274.1
2014-12-01,278.3
2015-01-01,284.6
2015-02-01,291.5
2015-03-01,291.5
2015-04-01,297.4
2015-05-01,298.8
2015-06-01,301.3
2015-07-01,304.1
2015-08-01,305.3
2015-09-01,306.1
2015-10-01,302.3
2015-11-01,293.4
2015-12-01,285.0
2016-01-01,279.0
2016-02-01,273.7
2016-03-01,271.4
2016-04-01,273.3
2016-05-01,275.8
2016-06-01,276.4
2016-07-01,281.7
2016-08-01,287.4
2016-09-01,296.2
2016-10-01,304.3
2016-11-01,306.7
2016-12-01,307.4
2017-01-01,309.7
2017-02-01,314.0
2017-03-01,321.2
2017-04-01,330.0
2017-05-01,333.6
2017-06-01,336.1
2017-07-01,337.5
2017-08-01,339.7
2017-09-01,340.8
2017-10-01,343.3
2017-11-01,347.0
