date,price
1975-03-01,92841
1975-06-01,87658
1975-09-01,85885
1975-12-01,85408
1976-03-01,83933
1976-06-01,82490
1976-09-01,82429
1976-12-01,80281
1977-03-01,77536
1977-06-01,76017
1977-09-01,76537
1977-12-01,76457
1978-03-01,79020
1978-06-01,80683
1978-09-01,87017
1978-12-01,90386
1979-03-01,92890
1979-06-01,95953
1979-09-01,96543
1979-12-01,100770
1980-03-01,99249
1980-06-01,96669
1980-09-01,95820
1980-12-01,93504
1981-03-01,92172
1981-06-01,89210
1981-09-01,88126
1981-12-01,84585
1982-03-01,84516
1982-06-01,83624
1982-09-01,84195
1982-12-01,85628
1983-03-01,87638
1983-06-01,89398
1983-09-01,90794
1983-12-01,91173
1984-03-01,93983
1984-06-01,95673
1984-09-01,96116
1984-12-01,98979
1985-03-01,99661
1985-06-01,99239
1985-09-01,100451
1985-12-01,102154
1986-03-01,102016
1986-06-01,104522
1986-09-01,107903
1986-12-01,110337
1987-03-01,112564
1987-06-01,116502
1987-09-01,120187
1987-12-01,118695
1988-03-01,120083
1988-06-01,127245
1988-09-01,139370
1988-12-01,143851
1989-03-01,147192
1989-06-01,149605
1989-09-01,149467
1989-12-01,143558
1990-03-01,136676
1990-06-01,129277
1990-09-01,123413
1990-12-01,116578
1991-03-01,115169
1991-06-01,114556
1991-09-01,112984
1991-12-01,109315
1992-03-01,105816
1992-06-01,104556
1992-09-01,103797
1992-12-01,99246
1993-03-01,99811
1993-06-01,101760
1993-09-01,101136
1993-12-01,99423
1994-03-01,99822
1994-06-01,98162
1994-09-01,98799
1994-12-01,98914
1995-03-01,96101
1995-06-01,95380
1995-09-01,94574
1995-12-01,93705
1996-03-01,94008
1996-06-01,95848
1996-09-01,97421
1996-12-01,98934
1997-03-01,99486
1997-06-01,102798
1997-09-01,105901
1997-12-01,106921
1998-03-01,108439
1998-06-01,110389
1998-09-01,111961
1998-12-01,111373
1999-03-01,113813
1999-06-01,116847
1999-09-01,120676
1999-12-01,123551
2000-03-01,128104
2000-06-01,131449
2000-09-01,130788
2000-12-01,131063
2001-03-01,134991
2001-06-01,139175
2001-09-01,144509
2001-12-01,147034
2002-03-01,151432
2002-06-01,162406
2002-09-01,173315
2002-12-01,179679
2003-03-01,184837
2003-06-01,190989
2003-09-01,197115
2003-12-01,202184
2004-03-01,208893
2004-06-01,220076
2004-09-01,226182
2004-12-01,222545
2005-03-01,222433
2005-06-01,226652
2005-09-01,226019
2005-12-01,224393
2006-03-01,227985
2006-06-01,230653
2006-09-01,233432
2006-12-01,235940
2007-03-01,238828
2007-06-01,243383
2007-09-01,245537
2007-12-01,242151
2008-03-01,234647
2008-06-01,223850
2008-09-01,209841
2008-12-01,200977
2009-03-01,196039
2009-06-01,200131
2009-09-01,206299
2009-12-01,206413
2010-03-01,205125
2010-06-01,208477
2010-09-01,205869
2010-12-01,198269
2011-03-01,194212
2011-06-01,196060
2011-09-01,194786
2011-12-01,190729
2012-03-01,187555
2012-06-01,188088
2012-09-01,186205
2012-12-01,182903
2013-03-01,182015
2013-06-01,185026
2013-09-01,188130
2013-12-01,190795
2014-03-01,193745
2014-06-01,201239
2014-09-01,202970
2014-12-01,202781
2015-03-01,203102
2015-06-01,207534
2015-09-01,208464
2015-12-01,209296
2016-03-01,210911
2016-06-01,215117
2016-09-01,215692
2016-12-01,213968
2017-03-01,213201
2017-06-01,213580
2017-09-01,213190
2017-12-01,211433
